Stop_ID,Route_ID,Route_Name,Route,TNODE,ISTOP,ZONE,StopName
1,1,398104,398,3592,4,630,COASTER STATION     OCEANSIDE           
2,1,398104,398,4011,4,793,COASTER STATION     CARLSBAD VILLAGE    
3,1,398104,398,15563,4,1266,COASTER STATION     CARLSBAD POINSETTIAA
4,1,398104,398,5547,4,1533,COASTER STATION     ENCINITAS           
5,1,398104,398,6041,4,1764,COASTER STATION     SOLANA BEACH        
6,1,398104,398,6866,4,2091,COASTER STATION     SORRENTO VALLEY     
7,1,398104,398,15326,4,3365,COASTER STATION     OLD TOWN            
8,1,398104,398,15327,4,3952,COASTER STATION     SANTA FE DEPOT      
9,2,398204,398,15327,4,3952,COASTER STATION     SANTA FE DEPOT      
10,2,398204,398,15326,4,3365,COASTER STATION     OLD TOWN            
11,2,398204,398,6866,4,2091,COASTER STATION     SORRENTO VALLEY     
12,2,398204,398,6041,4,1764,COASTER STATION     SOLANA BEACH        
13,2,398204,398,5547,4,1533,COASTER STATION     ENCINITAS           
14,2,398204,398,15563,4,1266,COASTER STATION     CARLSBAD POINSETTIAA
15,2,398204,398,4011,4,793,COASTER STATION     CARLSBAD VILLAGE    
16,2,398204,398,3592,4,630,COASTER STATION     OCEANSIDE           
17,3,399101,399,3589,5,606,SPRINTER STATION    OCEANSIDE TC        
18,3,399101,399,3758,5,674,SPRINTER STATION    COAST HIGHWAY       
19,3,399101,399,15301,5,605,SPRINTER STATION    CROUCH STREET       
20,3,399101,399,3419,5,554,SPRINTER STATION    EL CAMINO REAL      
21,3,399101,399,15300,5,549,SPRINTER STATION    RANCHO DEL ORO      
22,3,399101,399,15299,5,524,SPRINTER STATION    COLLEGE BLVD        
23,3,399101,399,15298,5,423,SPRINTER STATION    MELROSE DR          
24,3,399101,399,3338,5,515,SPRINTER STATION    VISTA TRANSIT CENTER
25,3,399101,399,15302,5,642,SPRINTER STATION    ESCONDIDO AVE       
26,3,399101,399,15303,5,764,SPRINTER STATION    BUENA CREEK         
27,3,399101,399,4222,5,871,SPRINTER STATION    PALOMAR COLLEGE     
28,3,399101,399,4341,5,981,SPRINTER STATION    SAN MARCOS CIVIC CTR
29,3,399101,399,4557,5,1058,SPRINTER STATION    CSU-SAN MARCOS      
30,3,399101,399,4677,5,1066,SPRINTER STATION    NORDAHL ROAD        
31,3,399101,399,4949,5,1210,SPRINTER STATION    ESCONDIDO TC        
32,4,399201,399,4949,5,1210,SPRINTER STATION    ESCONDIDO TC        
33,4,399201,399,4677,5,1066,SPRINTER STATION    NORDAHL ROAD        
34,4,399201,399,4557,5,1058,SPRINTER STATION    CSU-SAN MARCOS      
35,4,399201,399,4341,5,981,SPRINTER STATION    SAN MARCOS CIVIC CTR
36,4,399201,399,4222,5,871,SPRINTER STATION    PALOMAR COLLEGE     
37,4,399201,399,15303,5,764,SPRINTER STATION    BUENA CREEK         
38,4,399201,399,15302,5,642,SPRINTER STATION    ESCONDIDO AVE       
